ticker,quarter,finbert_prepared_remarks_pos,finbert_prepared_remarks_neg,finbert_prepared_remarks_neu,finbert_qa_management_pos,finbert_qa_management_neg,finbert_qa_management_neu,uncertainty_count_qa_management,forward_looking_count_prepared_remarks,forward_looking_count_qa_management,qa_management_length_zscore
CSCO,Q4 2016,0.6574660539627075,0.05440416932106018,0.2881297469139099,0.3068110942840576,0.16433614492416382,0.5288527607917786,5,26,21,-1.9252011372042719
CSCO,Q2 2016,0.6249808669090271,0.04949120059609413,0.32552796602249146,0.330025851726532,0.021765654906630516,0.648208498954773,5,31,48,0.8421125126816864
CSCO,Q3 2016,0.7165688872337341,0.026487700641155243,0.25694337487220764,0.40570303797721863,0.08721677213907242,0.5070801973342896,5,25,16,0.2860806586263513
CSCO,Q1 2017,0.5265638828277588,0.198935404419899,0.2745007574558258,0.29740384221076965,0.08417031913995743,0.6184257864952087,10,18,22,-0.7140426432223538
CSCO,Q4 2017,0.5333242416381836,0.2592976689338684,0.20737811923027039,0.28619712591171265,0.1556287556886673,0.5581741333007812,4,34,24,0.44022810331495904
CSCO,Q2 2017,0.66635662317276,0.13999377191066742,0.19364960491657257,0.2821812033653259,0.09115941822528839,0.6266593933105469,4,21,37,-1.4058710556938434
CSCO,Q3 2017,0.6595655679702759,0.20011907815933228,0.14031529426574707,0.26705676317214966,0.14881578087806702,0.5841274857521057,3,34,16,-0.1414949915218107
CSCO,Q1 2018,0.42075759172439575,0.251395583152771,0.32784682512283325,0.3704083263874054,0.0219681728631258,0.6076234579086304,1,21,18,-0.6186180346055966
CSCO,Q4 2018,0.49073526263237,0.2341773808002472,0.2750874161720276,0.28053563833236694,0.08588819950819016,0.6335762143135071,6,23,42,0.48060005311435633
CSCO,Q2 2018,0.8476519584655762,0.01900438964366913,0.1333436518907547,0.30248120427131653,0.030167536810040474,0.6673511862754822,6,22,22,-0.2075581821026426
CSCO,Q3 2018,0.6980565786361694,0.057298995554447174,0.24464444816112518,0.3346714675426483,0.039783138781785965,0.6255453824996948,5,14,29,0.5246421801682443
CSCO,Q1 2019,0.6295481324195862,0.011404478922486305,0.3590473532676697,0.27082324028015137,0.02391156740486622,0.70526522397995,7,12,24,1.9853727274555273
CSCO,Q4 2019,0.5862596035003662,0.1345757097005844,0.2791646122932434,0.27935945987701416,0.1725420355796814,0.5480985045433044,9,17,16,0.1429437457012155
CSCO,Q2 2019,0.5827426910400391,0.03337205573916435,0.3838852643966675,0.27990609407424927,0.025107035413384438,0.694986879825592,12,16,11,0.37600000136137246
CSCO,Q3 2019,0.5715224146842957,0.0136890709400177,0.41478845477104187,0.1529272049665451,0.0838695764541626,0.7632032632827759,9,13,16,1.5633023431891013
CSCO,Q1 2020,0.40601736307144165,0.34815075993537903,0.2458319067955017,0.21621376276016235,0.2296796441078186,0.554106593132019,4,19,24,-1.1140919639618359
CSCO,Q4 2020,0.423248291015625,0.34747636318206787,0.22927536070346832,0.21299387514591217,0.025818370282649994,0.761187732219696,1,49,20,-1.1159270525890812
CSCO,Q2 2020,0.3894004821777344,0.38003450632095337,0.23056499660015106,0.20697323977947235,0.13080522418022156,0.6622216105461121,3,24,31,-0.2717862840562292
CSCO,Q3 2020,0.40023738145828247,0.28509455919265747,0.31466808915138245,0.2553882598876953,0.050966162234544754,0.6936455965042114,10,28,44,0.873309019344857
