ticker,earnings_date,original_filename,1_day_return,5_day_return,10_day_return
AAPL,2018-05-01,2018-May-01-AAPL.txt,0.04417494994346065,0.10023654718812769,0.10679409534779018
AAPL,2019-10-30,2019-Oct-30-AAPL.txt,0.02260952893147872,0.05746928398562593,0.09045486917479487
AAPL,2016-01-26,2016-Jan-26-AAPL.txt,-0.06570625082488148,-0.05510512797084234,-0.044849863111977445
AAPL,2020-07-30,2020-Jul-30-AAPL.txt,0.10468849308184427,0.184140518978005,0.19780986320353192
AAPL,2017-08-01,2017-Aug-01-AAPL.txt,0.047250739584782535,0.06684426763825489,0.08120360915623898
AAPL,2020-01-28,2020-Jan-28-AAPL.txt,0.020932246129890905,0.003651261344375635,0.00843102560889441
AAPL,2016-04-26,2016-Apr-26-AAPL.txt,-0.06257777845149261,-0.08787745478347657,-0.09929275530965666
AAPL,2017-01-31,2017-Jan-31-AAPL.txt,0.06098066942607295,0.08388952445795234,0.1174734165737863
AAPL,2019-04-30,2019-Apr-30-AAPL.txt,0.04908555145417923,0.010913580581162062,-0.05622890059535209
AAPL,2017-11-02,2017-Nov-02-AAPL.txt,0.02611440155991519,0.046220130700853276,0.02144513866496265
AAPL,2016-10-25,2016-Oct-25-AAPL.txt,-0.02249481919826702,-0.05716709871374872,-0.05598142824755781
AAPL,2016-07-26,2016-Jul-26-AAPL.txt,0.06496286827641756,0.0807901767809853,0.13167911657606787
AAPL,2017-05-02,2017-May-02-AAPL.txt,-0.0030507477839961535,0.043929405151102954,0.0583129860774721
AAPL,2019-07-30,2019-Jul-30-AAPL.txt,0.020404296657439487,-0.05642315398419482,0.004712959315301515
AAPL,2019-01-29,2019-Jan-29-AAPL.txt,0.0683346753222096,0.12606665290959476,0.10953523817942272
AAPL,2018-07-31,2018-Jul-31-AAPL.txt,0.058909932743927994,0.08839118329328428,0.10613049775607859
AAPL,2018-02-01,2018-Feb-01-AAPL.txt,-0.04339018448697073,-0.07527716539285857,0.03525647871314639
AAPL,2018-11-01,2018-Nov-01-AAPL.txt,-0.06633080178561077,-0.05851208765725549,-0.13564112412313759
AAPL,2020-04-30,2020-Apr-30-AAPL.txt,-0.01609926613802721,0.03383229533832081,0.05642570522602322
