ticker,quarter,earnings_date,1_day_return,5_day_return,10_day_return
MU,Q4 2018,2018-Sep-20,-0.02865861677783274,-0.023230838806788244,-0.041250858033527155
MU,Q2 2019,2019-Mar-20,0.09618739032408512,-0.022427230313505003,0.09394456990582978
MU,Q1 2020,2019-Dec-18,0.028092092329883307,0.039027286518017956,0.028092092329883307
MU,Q1 2017,2016-Dec-21,0.12682218317883107,0.08211854454744608,0.07094265862707029
MU,Q4 2016,2016-Oct-04,-0.00561794607452399,-0.05280880287963785,-0.021910373917536786
MU,Q2 2017,2017-Mar-23,0.07404613654340989,0.09444677598968573,0.08122436761295429
MU,Q3 2020,2020-Jun-29,0.048219730326625625,-0.0012206268524390074,0.01139355097772998
MU,Q2 2018,2018-Mar-22,-0.07993872475455577,-0.1150712362867785,-0.17752893875692438
MU,Q3 2019,2019-Jun-25,0.13341483256034636,0.2117500000747425,0.31272939595798516
MU,Q1 2018,2017-Dec-19,0.04024536486382614,-0.034106533599266714,0.06593900801043591
MU,Q1 2019,2018-Dec-18,-0.07915569806589043,-0.0944005827718419,-0.09117565373929988
MU,Q2 2020,2020-Mar-25,0.05388234707761991,-0.06141180821736667,0.13623523632591428
MU,Q4 2019,2019-Sep-26,-0.11090514314920778,-0.10576119783933068,-0.10946492209336894
MU,Q3 2016,2016-Jun-30,-0.09156981532920934,-0.0828488636299086,-0.04578512068074277
MU,Q4 2017,2017-Sep-26,0.0851373496202087,0.18110005470019172,0.22820362009161824
MU,Q3 2017,2017-Jun-29,-0.05115989513973464,-0.040355890063254816,0.010168544764217462
MU,Q2 2016,2016-Mar-30,-0.0009541000852298075,-0.0009541000852298075,0.038168012233065755
