ticker,quarter,earnings_date,transcript_path
INTC,Q2 2018,2018-Jul-26,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/INTC/2018-Jul-26-INTC.txt
INTC,Q3 2018,2018-Oct-25,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/INTC/2018-Oct-25-INTC.txt
INTC,Q4 2017,2018-Jan-25,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/INTC/2018-Jan-25-INTC.txt
INTC,Q2 2020,2020-Jul-23,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/INTC/2020-Jul-23-INTC.txt
INTC,Q2 2019,2019-Jul-25,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/INTC/2019-Jul-25-INTC.txt
INTC,Q1 2017,2017-Apr-27,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/INTC/2017-Apr-27-INTC.txt
INTC,Q1 2018,2018-Apr-26,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/INTC/2018-Apr-26-INTC.txt
INTC,Q3 2016,2016-Oct-18,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/INTC/2016-Oct-18-INTC.txt
INTC,Q1 2020,2020-Apr-23,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/INTC/2020-Apr-23-INTC.txt
INTC,Q4 2016,2017-Jan-26,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/INTC/2017-Jan-26-INTC.txt
INTC,Q4 2015,2016-Jan-14,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/INTC/2016-Jan-14-INTC.txt
INTC,Q1 2016,2016-Apr-19,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/INTC/2016-Apr-19-INTC.txt
INTC,Q3 2017,2017-Oct-26,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/INTC/2017-Oct-26-INTC.txt
INTC,Q4 2019,2020-Jan-23,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/INTC/2020-Jan-23-INTC.txt
MU,Q4 2018,2018-Sep-20,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MU/2018-Sep-20-MU.txt
MU,Q2 2019,2019-Mar-20,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MU/2019-Mar-20-MU.txt
MU,Q1 2020,2019-Dec-18,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MU/2019-Dec-18-MU.txt
MU,Q1 2017,2016-Dec-21,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MU/2016-Dec-21-MU.txt
MU,Q4 2016,2016-Oct-04,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MU/2016-Oct-04-MU.txt
MU,Q2 2017,2017-Mar-23,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MU/2017-Mar-23-MU.txt
MU,Q3 2020,2020-Jun-29,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MU/2020-Jun-29-MU.txt
MU,Q2 2018,2018-Mar-22,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MU/2018-Mar-22-MU.txt
MU,Q3 2019,2019-Jun-25,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MU/2019-Jun-25-MU.txt
MU,Q1 2018,2017-Dec-19,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MU/2017-Dec-19-MU.txt
MU,Q1 2019,2018-Dec-18,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MU/2018-Dec-18-MU.txt
MU,Q2 2020,2020-Mar-25,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MU/2020-Mar-25-MU.txt
MU,Q4 2019,2019-Sep-26,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MU/2019-Sep-26-MU.txt
MU,Q3 2016,2016-Jun-30,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MU/2016-Jun-30-MU.txt
MU,Q4 2017,2017-Sep-26,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MU/2017-Sep-26-MU.txt
